Cuenta;Descripción
5.1.2.38.000;Revista FOUNT
5.1.2.39.000;Tecnicatura de Protesis
5.1.2.40.000;Lab. Anatomia Patologica
5.1.2.41.000;Clínica de Operatoria
5.1.3.00.000;Gastos Fount
5.1.3.01.000;Gastos Facultad
5.1.3.01.001;Movilidad y viaticos
5.1.3.01.002;Limpieza
5.1.3.01.003;Combustible y Lubricantes
5.1.3.01.004;Mantenimienot y Reparación
5.1.3.01.005;Papelería e Impresos
5.1.3.01.006;Agus y Comestibles
5.1.3.01.007;Insumos Odontologicos
5.1.3.02.000;Servicios Prestados
5.1.3.03.000;Mejoras Edilicias
5.1.3.04.000;Gastos Generales
5.1.3.05.000;Servicio de Software
5.1.3.06.000;Telefonia
5.1.3.07.000;Honorarios Profesionales
5.1.3.08.000;Equipos y maq
5.1.4.00.000;GASTOS ADMINISTRACION
5.1.4.01.000;BOX COOPERADORA
5.1.4.01.001;Honorarios Administrativos
5.1.4.01.002;Movilidad y Viaticos
5.1.4.01.003;Combustible
5.1.4.01.004;Libreria y Utiles
5.1.4.01.005;Mantenimiento y Reparacion eq.
5.1.4.01.006;Servicios Prestados
5.1.4.01.007;Servicios Software
5.1.4.01.008;Gastos Generales
5.1.4.01.009;Amortizaciones Bs. Uso. Administ.
5.1.4.01.010;Fallo de Caja
5.1.4.01.011;Papeles e Impresos
5.1.4.01.012;Limpieza
5.1.4.01.013;Seguridad
5.1.4.02.000;CENTRO ODONTOLOGICO
5.1.4.02.001;Honorarios
5.1.4.02.002;Movilidad y Viaticos
5.1.4.02.003;Limpieza
5.1.4.02.004;Libreria y Combustible
5.1.4.02.005;Mantenimiento y Reparacion Eq.
5.1.4.02.006;Servicios Prestados
5.1.4.02.007;Seguridad
5.1.4.02.008;Agus y Comestibles
5.1.4.02.009;Gastos Generales
5.1.4.02.010;Amortizacion Bs Uso Administr.
5.1.4.02.011;Papeleria e Impresos
5.1.4.02.012;Mant. de Sistema
5.1.4.03.000;SECRETARIA POSTGRADO
5.1.4.03.001;Honorarios Administrativos
5.1.4.03.002;Movilidad y Viaticos
5.1.4.03.003;Combustible
5.1.4.03.004;Libreria y Utiles
5.1.4.03.005;Mantenimiento y Reparacion Eq.
5.1.4.03.006;Servicios Prestados
5.1.4.03.007;Telefonia
5.1.4.03.008;Publicidad
5.1.4.03.009;Correo
5.1.4.03.010;Alimentos y Bebidas
5.1.4.03.011;Gastos Generales
5.1.4.03.012;Amortizacion Bs Uso Administ.
5.1.4.03.013;Papeleria e Impresos
5.1.5.00.000;GASTOS COMERCIALIZACION
5.1.5.01.000;BOX COOPERADORA
5.1.5.01.001;Descuentos Concedidos
5.1.5.01.002;Fletes y Encomiendas
5.1.5.02.000;CENTRO ODONTOLOGICO
5.1.5.02.001;Descuentos Concedido
5.1.5.03.000;SECRETARIA POSTGRADO
5.1.5.03.001;Descuentos Concedidos
5.1.6.00.000;GASTOS BANCARIOS
5.1.6.01.000;Int. Comisiones y Gtos . Bcrios
5.1.6.02.000;Imt. y Transf. Fcieras.
5.1.6.03.000;Impuestos
5.2.0.00.000;ORDINARIOS NO OPERATIVOS
5.2.1.00.000;BOX COOPERADORADA
5.2.1.01.000;Rdo. Vta. Bienes de Uso
5.3.0.00.000;EXTRAORDINARIOS
